provider_id,name,city,state,latitude,longitude,specialty,secondary_specialty,specialty_category,experience_years,service_cost,wait_time_days,patient_rating,risk_rate,certified,background_check_passed,network_type,capacity,telehealth_available,hospital_affiliation,CMS_quality_score,region
P00016,Provider_16,City_16,FL,28.2444,-81.5103,Neurology,General Practice,Specialty Care,27,450,8,1.51,0.34,FALSE,FALSE,In-network,433,TRUE,Hospital_16,2.64,North
P00017,Provider_17,City_17,CA,37.0783,-119.1179,Pediatrics,Neurology,Primary Care,34,150,39,4.63,0.66,TRUE,FALSE,Out-of-network,61,TRUE,Hospital_17,2.93,South
P00018,Provider_18,City_18,GA,32.5156,-82.5501,Cardiology,Neurology,Specialty Care,8,500,20,1.9,0.73,FALSE,TRUE,Out-of-network,157,TRUE,Hospital_18,3.11,East
P00019,Provider_19,City_19,WA,48.1511,-120.3401,General Practice,Neurology,Primary Care,37,100,19,4.01,0.39,FALSE,FALSE,In-network,418,FALSE,Hospital_19,2.11,South
P00020,Provider_20,City_20,TX,32.4186,-99.4518,Endocrinology,General Practice,Specialty Care,18,400,25,1.14,0.34,TRUE,TRUE,Out-of-network,132,FALSE,Hospital_20,2.04,South
P00021,Provider_21,City_21,MA,42.4072,-71.3824,Pediatrics,Dermatology,Primary Care,1,150,27,1.77,0.36,FALSE,TRUE,In-network,371,FALSE,Hospital_21,3.46,North
P00022,Provider_22,City_22,NY,43.3494,-74.1679,ENT,General Practice,Specialty Care,35,220,27,2.29,0.31,FALSE,TRUE,In-network,220,TRUE,Hospital_22,2.37,East
P00023,Provider_23,City_23,AZ,34.1489,-110.9937,Neurology,Psychiatry,Specialty Care,19,450,59,4.88,0.4,TRUE,FALSE,Out-of-network,277,FALSE,Hospital_23,4.71,East
P00024,Provider_24,City_24,IL,40.7831,-89.2485,Dermatology,Urology,Specialty Care,27,200,46,4.47,0.38,FALSE,FALSE,Out-of-network,484,TRUE,Hospital_24,1.14,West
P00025,Provider_25,City_25,IL,40.8331,-89.1985,Dermatology,General Practice,Specialty Care,4,200,46,3.11,0.86,TRUE,FALSE,In-network,136,FALSE,Hospital_25,3.1,South
P00026,Provider_26,City_26,NV,39.0526,-116.1694,Cardiology,Orthopedics,Specialty Care,36,500,26,1.16,0.67,TRUE,FALSE,Out-of-network,299,TRUE,Hospital_26,4,South
P00027,Provider_27,City_27,NV,39.1026,-116.1194,Neurology,Orthopedics,Specialty Care,20,450,59,4.03,0.01,TRUE,TRUE,In-network,383,TRUE,Hospital_27,4.26,West
P00028,Provider_28,City_28,NC,36.1096,-78.6693,Dermatology,Urology,Specialty Care,14,200,44,3.67,0.27,TRUE,FALSE,In-network,319,FALSE,Hospital_28,4.78,South
P00029,Provider_29,City_29,GA,32.5656,-82.5001,Dermatology,Orthopedics,Specialty Care,38,200,16,1,0.08,FALSE,TRUE,In-network,131,FALSE,Hospital_29,2.36,West
P00030,Provider_30,City_30,AZ,34.4989,-110.6437,General Practice,Dermatology,Primary Care,7,100,60,4.71,0.66,TRUE,FALSE,In-network,156,TRUE,Hospital_30,4.82,South
P00031,Provider_31,City_31,PA,41.2033,-77.1945,Dermatology,Dermatology,Specialty Care,30,200,14,4.92,0.35,TRUE,FALSE,In-network,396,TRUE,Hospital_31,1.2,South
P00032,Provider_32,City_32,MA,42.4572,-71.3324,Gastroenterology,Urology,Specialty Care,10,420,8,4.54,0.97,FALSE,FALSE,Out-of-network,208,TRUE,Hospital_32,1.01,East
P00033,Provider_33,City_33,NV,38.9026,-116.3194,Urology,Neurology,Specialty Care,21,380,54,3.85,0.39,FALSE,TRUE,In-network,384,FALSE,Hospital_33,3.45,West
P00034,Provider_34,City_34,MI,44.4648,-85.4524,Pediatrics,ENT,Primary Care,6,150,15,4.13,0.76,TRUE,FALSE,Out-of-network,313,TRUE,Hospital_34,3.72,West
P00035,Provider_35,City_35,NC,35.9596,-78.8193,Urology,Gastroenterology,Specialty Care,5,380,53,3.74,0.32,TRUE,FALSE,In-network,73,FALSE,Hospital_35,2.71,North
P00036,Provider_36,City_36,OH,40.6673,-82.6571,Neurology,Neurology,Specialty Care,30,450,28,2.93,0,TRUE,FALSE,In-network,238,FALSE,Hospital_36,3.99,West
P00037,Provider_37,City_37,CA,37.0783,-119.1179,Urology,Neurology,Specialty Care,6,380,9,2.67,0.52,TRUE,TRUE,In-network,436,TRUE,Hospital_37,4.26,North
P00038,Provider_38,City_38,PA,41.5533,-76.8445,Psychiatry,ENT,Specialty Care,27,250,20,3.93,0.45,FALSE,TRUE,In-network,102,TRUE,Hospital_38,4.79,West
P00039,Provider_39,City_39,MI,44.7148,-85.2024,Cardiology,Pediatrics,Specialty Care,6,500,39,3.1,0.97,TRUE,FALSE,Out-of-network,112,TRUE,Hospital_39,3.44,East
P00040,Provider_40,City_40,OH,40.8673,-82.4571,Urology,Orthopedics,Specialty Care,21,380,5,3.79,0.65,TRUE,FALSE,Out-of-network,499,TRUE,Hospital_40,3.28,East
P00041,Provider_41,City_41,NY,43.2994,-74.2179,Dermatology,General Practice,Specialty Care,22,200,30,4.94,0.09,TRUE,FALSE,Out-of-network,457,TRUE,Hospital_41,2.62,East
P00042,Provider_42,City_42,OH,40.4673,-82.8571,Cardiology,Psychiatry,Specialty Care,32,500,57,5,0.24,TRUE,TRUE,Out-of-network,343,TRUE,Hospital_42,2.22,South
P00043,Provider_43,City_43,IL,40.7331,-89.2985,Orthopedics,Orthopedics,Surgical,24,400,21,4.24,0.24,FALSE,FALSE,In-network,313,TRUE,Hospital_43,4.2,North
P00044,Provider_44,City_44,WA,47.9011,-120.5901,Orthopedics,ENT,Surgical,10,400,32,1.36,0.43,TRUE,FALSE,Out-of-network,397,FALSE,Hospital_44,4.95,West
P00045,Provider_45,City_45,TX,32.1686,-99.7018,Gastroenterology,Endocrinology,Specialty Care,22,420,45,3.47,0.78,TRUE,FALSE,Out-of-network,489,FALSE,Hospital_45,1.57,West
P00046,Provider_46,City_46,CA,37.0283,-119.1679,Cardiology,ENT,Specialty Care,3,500,38,1.16,0.53,FALSE,FALSE,In-network,491,TRUE,Hospital_46,3.94,West
P00047,Provider_47,City_47,MI,44.6148,-85.3024,Endocrinology,Dermatology,Specialty Care,36,400,18,2.9,0.03,TRUE,TRUE,Out-of-network,307,FALSE,Hospital_47,1.3,South
P00048,Provider_48,City_48,OH,40.7673,-82.5571,Pediatrics,Gastroenterology,Primary Care,20,150,34,3.61,0.01,TRUE,TRUE,Out-of-network,351,TRUE,Hospital_48,4.39,East
P00049,Provider_49,City_49,GA,32.5656,-82.5001,Dermatology,Dermatology,Specialty Care,32,200,44,3.13,0.8,TRUE,TRUE,Out-of-network,391,TRUE,Hospital_49,2.68,South
P00050,Provider_50,City_50,GA,32.6156,-82.4501,Ophthalmology,Ophthalmology,Specialty Care,23,180,51,1.43,0.86,TRUE,FALSE,In-network,92,FALSE,Hospital_50,3.96,South
P00051,Provider_51,City_51,NV,38.8026,-116.4194,ENT,Ophthalmology,Specialty Care,19,220,51,3.35,0.54,TRUE,FALSE,Out-of-network,335,TRUE,Hospital_51,2.7,North
P00052,Provider_52,City_52,NY,43.3494,-74.1679,Ophthalmology,Gastroenterology,Specialty Care,13,180,28,2.9,0.61,FALSE,FALSE,Out-of-network,290,TRUE,Hospital_52,2.23,South
P00053,Provider_53,City_53,PA,41.3033,-77.0945,Endocrinology,General Practice,Specialty Care,21,400,27,4.32,0.78,TRUE,FALSE,Out-of-network,395,TRUE,Hospital_53,1.92,West
P00054,Provider_54,City_54,NV,38.9526,-116.2694,ENT,Orthopedics,Specialty Care,27,220,5,3.02,0.53,TRUE,FALSE,In-network,53,FALSE,Hospital_54,4.04,West
P00055,Provider_55,City_55,NV,39.0026,-116.2194,Pediatrics,Ophthalmology,Primary Care,6,150,57,1.47,0.72,FALSE,FALSE,Out-of-network,433,FALSE,Hospital_55,4.9,North
P00056,Provider_56,City_56,NC,36.0096,-78.7693,Neurology,Gastroenterology,Specialty Care,17,450,23,3.77,0.31,FALSE,TRUE,Out-of-network,414,TRUE,Hospital_56,3.99,East
P00057,Provider_57,City_57,PA,41.5033,-76.8945,General Practice,Pediatrics,Primary Care,3,100,28,2.72,0.72,FALSE,TRUE,Out-of-network,433,TRUE,Hospital_57,3.26,East
P00058,Provider_58,City_58,NC,36.1096,-78.6693,Dermatology,Endocrinology,Specialty Care,13,200,32,1.39,0.48,FALSE,TRUE,In-network,76,FALSE,Hospital_58,2.62,East
P00059,Provider_59,City_59,IL,41.0331,-88.9985,Dermatology,Cardiology,Specialty Care,35,200,52,4.79,0.12,TRUE,FALSE,In-network,93,FALSE,Hospital_59,1.74,North
P00060,Provider_60,City_60,MI,44.7648,-85.1524,Neurology,Pediatrics,Specialty Care,25,450,29,1.19,0.63,TRUE,FALSE,Out-of-network,476,TRUE,Hospital_60,1.28,West
P00061,Provider_61,City_61,WA,47.7511,-120.7401,Gastroenterology,ENT,Specialty Care,27,420,52,1.15,0.38,FALSE,FALSE,Out-of-network,134,FALSE,Hospital_61,3.14,East
P00062,Provider_62,City_62,TX,32.0186,-99.8518,Urology,General Practice,Specialty Care,1,380,13,1.33,0.59,FALSE,TRUE,Out-of-network,469,FALSE,Hospital_62,2.1,South
P00063,Provider_63,City_63,NY,43.3994,-74.1179,Neurology,Psychiatry,Specialty Care,31,450,32,2.12,0.12,TRUE,FALSE,Out-of-network,311,TRUE,Hospital_63,4.85,East
P00064,Provider_64,City_64,OH,40.5673,-82.7571,Psychiatry,Dermatology,Specialty Care,28,250,38,2.29,0.5,TRUE,FALSE,In-network,238,TRUE,Hospital_64,4.31,North
P00065,Provider_65,City_65,NV,39.0026,-116.2194,Orthopedics,Cardiology,Surgical,6,400,44,4.49,0.75,FALSE,FALSE,Out-of-network,412,TRUE,Hospital_65,1.53,West
P00066,Provider_66,City_66,AZ,34.2989,-110.8437,Gastroenterology,Pediatrics,Specialty Care,31,420,29,4.87,0.5,FALSE,FALSE,Out-of-network,441,TRUE,Hospital_66,3.32,East
P00067,Provider_67,City_67,NC,36.0596,-78.7193,Gastroenterology,General Practice,Specialty Care,25,420,19,4.87,0.83,TRUE,TRUE,In-network,358,TRUE,Hospital_67,2.33,North
P00068,Provider_68,City_68,CO,39.9001,-105.4321,Orthopedics,Psychiatry,Surgical,1,400,14,3.69,0.57,FALSE,FALSE,Out-of-network,226,FALSE,Hospital_68,4.3,West
P00069,Provider_69,City_69,NC,36.1596,-78.6193,ENT,Urology,Specialty Care,16,220,49,4.52,0.97,FALSE,TRUE,In-network,52,FALSE,Hospital_69,1.29,South
P00070,Provider_70,City_70,WA,48.2011,-120.2901,Dermatology,General Practice,Specialty Care,34,200,23,1.83,0.83,FALSE,TRUE,In-network,130,FALSE,Hospital_70,2.93,North
P00071,Provider_71,City_71,NV,38.8026,-116.4194,ENT,General Practice,Specialty Care,10,220,17,3.17,0.98,FALSE,TRUE,Out-of-network,306,FALSE,Hospital_71,4.73,East
P00072,Provider_72,City_72,FL,28.0444,-81.7103,Psychiatry,Dermatology,Specialty Care,4,250,22,1.22,0.6,FALSE,FALSE,In-network,248,TRUE,Hospital_72,2.17,West
P00073,Provider_73,City_73,MI,44.4148,-85.5024,Cardiology,General Practice,Specialty Care,10,500,13,2.7,0.24,TRUE,FALSE,In-network,368,TRUE,Hospital_73,1.2,North
P00074,Provider_74,City_74,CA,36.9283,-119.2679,Dermatology,Pediatrics,Specialty Care,15,200,35,1.11,0.29,TRUE,TRUE,Out-of-network,418,FALSE,Hospital_74,3.19,East
P00075,Provider_75,City_75,AZ,34.2489,-110.8937,Ophthalmology,Neurology,Specialty Care,5,180,20,1.54,0.11,TRUE,TRUE,Out-of-network,472,TRUE,Hospital_75,1.04,South
P00076,Provider_76,City_76,NY,43.5494,-73.9679,Psychiatry,Orthopedics,Specialty Care,40,250,54,1.85,0.27,TRUE,TRUE,In-network,106,TRUE,Hospital_76,1.64,South
P00077,Provider_77,City_77,GA,32.4656,-82.6001,Pediatrics,Gastroenterology,Primary Care,23,150,8,4.43,0.07,TRUE,FALSE,In-network,152,TRUE,Hospital_77,2.78,West
P00078,Provider_78,City_78,AZ,34.3989,-110.7437,Endocrinology,Pediatrics,Specialty Care,29,400,17,4.56,0.05,FALSE,FALSE,Out-of-network,418,TRUE,Hospital_78,2.79,South
P00079,Provider_79,City_79,NV,39.2026,-116.0194,Pediatrics,Ophthalmology,Primary Care,24,150,24,4.97,0.13,FALSE,TRUE,Out-of-network,185,TRUE,Hospital_79,1.14,North
P00080,Provider_80,City_80,WA,48.2011,-120.2901,Pediatrics,Neurology,Primary Care,5,150,47,1.58,0.39,FALSE,TRUE,In-network,320,FALSE,Hospital_80,2.49,North
P00081,Provider_81,City_81,CA,36.7783,-119.4179,Cardiology,Endocrinology,Specialty Care,19,500,52,1.03,0.91,FALSE,FALSE,Out-of-network,139,TRUE,Hospital_81,1.14,South
P00082,Provider_82,City_82,CA,36.8283,-119.3679,Ophthalmology,Neurology,Specialty Care,40,180,15,2.5,0.09,FALSE,FALSE,Out-of-network,481,FALSE,Hospital_82,4.48,West
P00083,Provider_83,City_83,CO,39.6501,-105.6821,Dermatology,General Practice,Specialty Care,3,200,60,4.75,0.4,TRUE,TRUE,Out-of-network,463,TRUE,Hospital_83,2.73,East
P00084,Provider_84,City_84,CO,39.7001,-105.6321,Psychiatry,Urology,Specialty Care,2,250,53,2.14,0.73,TRUE,FALSE,In-network,231,FALSE,Hospital_84,2.95,West
P00085,Provider_85,City_85,CO,39.7501,-105.5821,Neurology,ENT,Specialty Care,19,450,55,3.46,0.2,FALSE,FALSE,In-network,69,FALSE,Hospital_85,2.96,North
P00086,Provider_86,City_86,OH,40.6673,-82.6571,Dermatology,Ophthalmology,Specialty Care,7,200,52,1.23,0.55,TRUE,FALSE,In-network,225,FALSE,Hospital_86,2.42,North
P00087,Provider_87,City_87,MI,44.6148,-85.3024,Neurology,Neurology,Specialty Care,28,450,23,1.32,0.07,FALSE,FALSE,In-network,184,TRUE,Hospital_87,2.21,West
P00088,Provider_88,City_88,CA,37.1283,-119.0679,General Practice,ENT,Primary Care,29,100,28,1.41,0.34,FALSE,TRUE,In-network,477,TRUE,Hospital_88,1.83,South
P00089,Provider_89,City_89,AZ,34.4489,-110.6937,Cardiology,General Practice,Specialty Care,7,500,44,2.26,0.57,TRUE,FALSE,Out-of-network,357,TRUE,Hospital_89,4.56,South
P00090,Provider_90,City_90,MA,42.8572,-70.9324,Orthopedics,Neurology,Surgical,7,400,31,2.48,0.42,TRUE,TRUE,Out-of-network,103,FALSE,Hospital_90,2.79,West
P00091,Provider_91,City_91,MI,44.3148,-85.6024,Gastroenterology,Gastroenterology,Specialty Care,12,420,45,2.93,0.62,TRUE,TRUE,Out-of-network,342,FALSE,Hospital_91,4.07,South
P00092,Provider_92,City_92,TX,32.0186,-99.8518,Urology,ENT,Specialty Care,5,380,28,2.37,0.12,FALSE,TRUE,Out-of-network,132,TRUE,Hospital_92,4.94,West
P00093,Provider_93,City_93,CO,39.6501,-105.6821,Cardiology,Endocrinology,Specialty Care,27,500,16,3.44,0.7,FALSE,FALSE,Out-of-network,360,TRUE,Hospital_93,3.38,East
P00094,Provider_94,City_94,NC,35.9096,-78.8693,Dermatology,Dermatology,Specialty Care,13,200,26,4.38,0.38,TRUE,TRUE,Out-of-network,407,FALSE,Hospital_94,1.82,East
P00095,Provider_95,City_95,AZ,34.2489,-110.8937,ENT,Orthopedics,Specialty Care,37,220,59,3.8,0.83,FALSE,FALSE,In-network,76,TRUE,Hospital_95,3.65,North
P00096,Provider_96,City_96,CO,39.8001,-105.5321,Neurology,Gastroenterology,Specialty Care,38,450,36,1.29,0.37,FALSE,TRUE,Out-of-network,378,FALSE,Hospital_96,2.54,West
P00097,Provider_97,City_97,WA,48.0511,-120.4401,Urology,Ophthalmology,Specialty Care,40,380,28,3.72,0.92,TRUE,TRUE,In-network,278,FALSE,Hospital_97,4.89,South
P00098,Provider_98,City_98,NC,36.1096,-78.6693,Urology,Ophthalmology,Specialty Care,26,380,8,4.84,0,TRUE,FALSE,Out-of-network,194,TRUE,Hospital_98,3.62,North
P00099,Provider_99,City_99,CO,39.9501,-105.3821,Endocrinology,Dermatology,Specialty Care,31,400,41,4.04,0.95,FALSE,FALSE,In-network,428,TRUE,Hospital_99,2.58,West
P00100,Provider_100,City_100,CA,37.2283,-118.9679,Orthopedics,Neurology,Surgical,2,400,58,1.24,0.63,FALSE,TRUE,Out-of-network,233,FALSE,Hospital_100,1.58,North
P00101,Provider_101,City_101,NV,38.8026,-116.4194,Dermatology,Endocrinology,Specialty Care,3,200,9,2.25,0.82,TRUE,TRUE,In-network,351,TRUE,Hospital_1,3.85,South
P00102,Provider_102,City_102,IL,40.6831,-89.3485,Endocrinology,Gastroenterology,Specialty Care,30,400,16,3.56,0.59,TRUE,FALSE,In-network,201,FALSE,Hospital_2,1.7,North
P00103,Provider_103,City_103,OH,40.5173,-82.8071,Gastroenterology,Gastroenterology,Specialty Care,22,420,11,1.27,0.68,FALSE,FALSE,Out-of-network,496,TRUE,Hospital_3,2.67,North
P00104,Provider_104,City_104,TX,32.1186,-99.7518,Psychiatry,ENT,Specialty Care,4,250,15,4.8,0.23,FALSE,FALSE,In-network,166,TRUE,Hospital_4,2.23,South
P00105,Provider_105,City_105,MI,44.5148,-85.4024,Psychiatry,Dermatology,Specialty Care,24,250,24,3.47,0.72,TRUE,TRUE,In-network,387,TRUE,Hospital_5,2.23,South
P00106,Provider_106,City_106,AZ,34.2989,-110.8437,Pediatrics,Pediatrics,Primary Care,20,150,24,3.7,0.89,TRUE,TRUE,In-network,491,FALSE,Hospital_6,4.9,East
P00107,Provider_107,City_107,CA,37.0783,-119.1179,Dermatology,Gastroenterology,Specialty Care,32,200,37,2.52,0.61,FALSE,TRUE,In-network,189,FALSE,Hospital_7,2.85,South
P00108,Provider_108,City_108,CA,37.1283,-119.0679,Urology,Orthopedics,Specialty Care,9,380,56,4.03,0.81,TRUE,FALSE,In-network,129,TRUE,Hospital_8,1.64,South
P00109,Provider_109,City_109,NC,36.1596,-78.6193,ENT,Ophthalmology,Specialty Care,26,220,41,1.55,0.55,TRUE,TRUE,Out-of-network,128,TRUE,Hospital_9,3.22,South
P00110,Provider_110,City_110,MI,44.7648,-85.1524,Cardiology,Dermatology,Specialty Care,39,500,11,2.98,0.09,TRUE,FALSE,Out-of-network,130,TRUE,Hospital_10,3.49,North
P00111,Provider_111,City_111,IL,40.6331,-89.3985,Pediatrics,Orthopedics,Primary Care,18,150,12,2.42,0.2,FALSE,FALSE,Out-of-network,154,FALSE,Hospital_11,3.62,South
P00112,Provider_112,City_112,NC,35.8096,-78.9693,Orthopedics,ENT,Surgical,15,400,31,1.5,0.4,FALSE,TRUE,Out-of-network,159,FALSE,Hospital_12,2.01,East
P00113,Provider_113,City_113,NC,35.8596,-78.9193,Psychiatry,Cardiology,Specialty Care,21,250,19,3.33,0.73,TRUE,FALSE,In-network,95,TRUE,Hospital_13,1.81,East
P00114,Provider_114,City_114,WA,47.9011,-120.5901,Gastroenterology,Orthopedics,Specialty Care,15,420,18,2.14,0.66,TRUE,TRUE,Out-of-network,103,FALSE,Hospital_14,4.82,South
P00115,Provider_115,City_115,MI,44.5148,-85.4024,Psychiatry,General Practice,Specialty Care,18,250,7,2.73,0.71,TRUE,TRUE,In-network,176,TRUE,Hospital_15,2.9,East
P00116,Provider_116,City_116,IL,40.8831,-89.1485,Gastroenterology,Psychiatry,Specialty Care,5,420,26,3.85,0.91,FALSE,TRUE,Out-of-network,82,FALSE,Hospital_16,2.57,North
P00117,Provider_117,City_117,CO,39.8501,-105.4821,Dermatology,ENT,Specialty Care,38,200,21,4.71,1,FALSE,FALSE,In-network,168,TRUE,Hospital_17,1.46,North
P00118,Provider_118,City_118,NV,39.1526,-116.0694,Orthopedics,Neurology,Surgical,31,400,21,3.5,0.29,FALSE,TRUE,Out-of-network,77,FALSE,Hospital_18,4.71,South
P00119,Provider_119,City_119,OH,40.8173,-82.5071,ENT,Urology,Specialty Care,25,220,60,3.1,0.78,FALSE,TRUE,In-network,345,TRUE,Hospital_19,1.39,West
P00120,Provider_120,City_120,GA,32.6156,-82.4501,Psychiatry,Urology,Specialty Care,13,250,50,3.95,0.47,FALSE,FALSE,Out-of-network,272,FALSE,Hospital_20,3.78,North
P00121,Provider_121,City_121,OH,40.4173,-82.9071,Psychiatry,Neurology,Specialty Care,27,250,34,1.74,0.03,FALSE,FALSE,Out-of-network,120,FALSE,Hospital_21,4.14,South
P00122,Provider_122,City_122,MI,44.3648,-85.5524,Ophthalmology,Pediatrics,Specialty Care,13,180,28,1.03,0.8,FALSE,FALSE,In-network,223,TRUE,Hospital_22,2.68,South
P00123,Provider_123,City_123,IL,40.7331,-89.2985,Dermatology,Cardiology,Specialty Care,32,200,52,4,0.17,TRUE,TRUE,Out-of-network,158,TRUE,Hospital_23,2.39,East
P00124,Provider_124,City_124,NC,35.9096,-78.8693,Pediatrics,Gastroenterology,Primary Care,36,150,24,2.87,0.62,FALSE,TRUE,In-network,279,FALSE,Hospital_24,1.88,South
P00125,Provider_125,City_125,MA,42.6072,-71.1824,Psychiatry,ENT,Specialty Care,32,250,9,1.62,0.28,TRUE,TRUE,In-network,74,TRUE,Hospital_25,3.23,East
P00126,Provider_126,City_126,AZ,34.2989,-110.8437,Cardiology,General Practice,Specialty Care,25,500,9,1.9,0.4,FALSE,FALSE,In-network,355,TRUE,Hospital_26,4.86,East
P00127,Provider_127,City_127,NV,39.1026,-116.1194,Cardiology,ENT,Specialty Care,8,500,54,1.04,0.78,FALSE,TRUE,In-network,490,TRUE,Hospital_27,4.29,South
P00128,Provider_128,City_128,WA,48.1011,-120.3901,General Practice,Orthopedics,Primary Care,17,100,23,4.35,0.72,TRUE,FALSE,Out-of-network,279,TRUE,Hospital_28,2.5,West
P00129,Provider_129,City_129,IL,41.0331,-88.9985,Neurology,ENT,Specialty Care,39,450,36,3.14,0.39,FALSE,TRUE,Out-of-network,187,TRUE,Hospital_29,1.69,East
P00130,Provider_130,City_130,NY,43.7494,-73.7679,Ophthalmology,General Practice,Specialty Care,19,180,34,1.47,0.23,TRUE,FALSE,In-network,247,FALSE,Hospital_30,2.64,West
P00131,Provider_131,City_131,AZ,34.0489,-111.0937,Neurology,Dermatology,Specialty Care,6,450,32,2.8,0.13,FALSE,FALSE,Out-of-network,255,FALSE,Hospital_31,4.12,South
P00132,Provider_132,City_132,MA,42.4572,-71.3324,ENT,Ophthalmology,Specialty Care,23,220,53,3.25,0.59,TRUE,FALSE,In-network,385,FALSE,Hospital_32,1.69,North
P00133,Provider_133,City_133,NC,35.8596,-78.9193,Endocrinology,Cardiology,Specialty Care,31,400,38,1.42,0.1,FALSE,FALSE,Out-of-network,207,TRUE,Hospital_33,4.12,East
P00134,Provider_134,City_134,NY,43.4494,-74.0679,Neurology,Dermatology,Specialty Care,22,450,51,2.47,0.61,FALSE,FALSE,In-network,455,FALSE,Hospital_34,3.9,South
P00135,Provider_135,City_135,MA,42.6072,-71.1824,Dermatology,Neurology,Specialty Care,29,200,23,4.88,0.69,TRUE,FALSE,In-network,399,TRUE,Hospital_35,1.1,North
P00136,Provider_136,City_136,NC,36.0096,-78.7693,Neurology,Ophthalmology,Specialty Care,1,450,51,2.73,0.69,FALSE,FALSE,Out-of-network,450,TRUE,Hospital_36,2.04,North
P00137,Provider_137,City_137,CA,37.0783,-119.1179,Ophthalmology,Ophthalmology,Specialty Care,6,180,15,1.51,0.6,FALSE,TRUE,In-network,185,FALSE,Hospital_37,2.48,East
P00138,Provider_138,City_138,NV,39.1526,-116.0694,Psychiatry,Neurology,Specialty Care,35,250,22,3.8,0.23,TRUE,TRUE,Out-of-network,249,TRUE,Hospital_38,3.47,South
P00139,Provider_139,City_139,CA,37.1783,-119.0179,Urology,Endocrinology,Specialty Care,5,380,56,2.61,0.84,TRUE,FALSE,Out-of-network,70,TRUE,Hospital_39,3.04,West
P00140,Provider_140,City_140,OH,40.8673,-82.4571,Ophthalmology,General Practice,Specialty Care,4,180,13,1.47,0.69,TRUE,FALSE,Out-of-network,168,TRUE,Hospital_40,4.8,West
P00141,Provider_141,City_141,NC,35.7596,-79.0193,ENT,Endocrinology,Specialty Care,14,220,39,4.88,0.72,FALSE,FALSE,In-network,334,TRUE,Hospital_41,2.51,South
P00142,Provider_142,City_142,CO,39.6001,-105.7321,Gastroenterology,Orthopedics,Specialty Care,5,420,28,2.92,0.95,TRUE,FALSE,Out-of-network,381,FALSE,Hospital_42,1.03,West
